Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Table 2. Estimated resident population and components, Local Government Areas, Victoria",,,,,,,,,,
"Regional population, 2022-23",,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2022-23,,,,
,,2022,2023,2022-23,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2023
LGA code,Local Government Area,no.,no.,no.,%,no.,no.,no.,km2,persons/km2
20110,Alpine,13191,13182,-9,-0.1,-16,-81,88,4788.2,2.8
20260,Ararat,11758,11683,-75,-0.6,-25,-157,107,4211.1,2.8
20570,Ballarat,116011,118137,2126,1.8,270,975,881,739,159.9
20660,Banyule,127427,129602,2175,1.7,390,-608,2393,62.5,2072.3
20740,Bass Coast,41813,42729,916,2.2,-106,830,192,865.8,49.4
20830,Baw Baw,59277,60644,1367,2.3,205,940,222,4027.6,15.1
20910,Bayside (Vic.),102241,104272,2031,2,-85,-265,2381,37.2,2802.2
21010,Benalla,14463,14529,66,0.5,-98,130,34,2352.6,6.2
21110,Boroondara,169632,174537,4905,2.9,-95,-771,5771,60.2,2900.4
21180,Brimbank,193392,196046,2654,1.4,846,-3291,5099,123.4,1588.7
21270,Buloke,6120,6040,-80,-1.3,-41,-64,25,7998.2,0.8
21370,Campaspe,38556,38299,-257,-0.7,-72,-328,143,4519.1,8.5
21450,Cardinia,123181,126960,3779,3.1,1298,1366,1115,1282.6,99
21610,Casey,379104,392110,13006,3.4,3974,1789,7243,409.4,957.7
21670,Central Goldfields,13520,13574,54,0.4,-106,120,40,1532.8,8.9
21750,Colac Otway,22198,22273,75,0.3,21,-80,134,3437.5,6.5
21830,Corangamite,15999,15948,-51,-0.3,7,-116,58,4407.5,3.6
21890,Darebin,150605,155683,5078,3.4,544,-701,5235,53.5,2911.5
22110,East Gippsland,48939,49179,240,0.5,-133,207,166,20939.5,2.3
22170,Frankston,141161,142826,1665,1.2,671,-513,1507,129.6,1102.1
22250,Gannawarra,10534,10420,-114,-1.1,-56,-61,3,3737.6,2.8
22310,Glen Eira,151824,156837,5013,3.3,411,-771,5373,38.7,4053.6
22410,Glenelg,20049,20022,-27,-0.1,-35,-52,60,6218.8,3.2
22490,Golden Plains,25321,25818,497,2,137,300,60,2703.4,9.6
22620,Greater Bendigo,122704,124174,1470,1.2,358,399,713,3000,41.4
22670,Greater Dandenong,159294,163792,4498,2.8,843,-2833,6488,129.5,1264.3
22750,Greater Geelong,276601,282809,6208,2.2,1161,2429,2618,1248,226.6
22830,Greater Shepparton,68964,69135,171,0.2,215,-776,732,2421.9,28.5
22910,Hepburn,16573,16670,97,0.6,-39,50,86,1473,11.3
22980,Hindmarsh,5601,5559,-42,-0.7,-33,-34,25,7524.2,0.7
23110,Hobsons Bay,91864,93738,1874,2,427,-419,1866,64.2,1459.2
23190,Horsham,20348,20315,-33,-0.2,17,-140,90,4266.8,4.8
23270,Hume,253182,262764,9582,3.8,2728,1202,5652,503.8,521.5
23350,Indigo,17425,17662,237,1.4,25,160,52,2040.5,8.7
23430,Kingston (Vic.),160107,163724,3617,2.3,324,-430,3723,91.4,1791.9
23670,Knox,159549,161766,2217,1.4,446,-704,2475,113.9,1420.1
23810,Latrobe (Vic.),77705,78154,449,0.6,66,-20,403,1425.6,54.8
23940,Loddon,7750,7747,-3,0,-34,1,30,6696.4,1.2
24130,Macedon Ranges,52202,52920,718,1.4,184,216,318,1748.3,30.3
24210,Manningham,126570,129514,2944,2.3,-188,-590,3722,113.3,1142.6
24250,Mansfield,10338,10546,208,2,1,115,92,3843.9,2.7
24330,Maribyrnong,87605,91762,4157,4.7,584,-778,4351,31.2,2938.7
24410,Maroondah,115759,117434,1675,1.4,382,-624,1917,61.4,1912.3
24600,Melbourne,160328,177396,17068,10.6,500,-2424,18992,37.5,4724.9
24650,Melton,193285,206070,12785,6.6,2650,7658,2477,527.5,390.6
24700,Merri-bek,174886,181223,6337,3.6,960,-701,6078,51,3556.7
24780,Mildura,57250,57554,304,0.5,148,-462,618,22081.9,2.6
24850,Mitchell,51682,53723,2041,3.9,442,1216,383,2862.1,18.8
24900,Moira,30584,30775,191,0.6,-54,111,134,4045.9,7.6
24970,Monash,195081,203560,8479,4.3,44,-2480,10915,81.5,2498.2
25060,Moonee Valley,123119,126486,3367,2.7,295,-41,3113,43.1,2932.1
25150,Moorabool,38526,39092,566,1.5,224,175,167,2110.6,18.5
25340,Mornington Peninsula,169733,170243,510,0.3,-289,-530,1329,724,235.1
25430,Mount Alexander,20324,20576,252,1.2,-53,201,104,1529.6,13.5
25490,Moyne,17478,17610,132,0.8,50,-5,87,5481.7,3.2
25620,Murrindindi,15353,15482,129,0.8,-14,88,55,3879.8,4
25710,Nillumbik,63066,63264,198,0.3,197,-504,505,432.3,146.3
25810,Northern Grampians,11879,11879,0,0,-2,-64,66,5729.9,2.1
25900,Port Phillip,104096,109515,5419,5.2,477,-718,5660,20.6,5312.6
25990,Pyrenees,7653,7786,133,1.7,-13,127,19,3434.6,2.3
26080,Queenscliffe,3221,3238,17,0.5,-32,30,19,8.6,375.8
26170,South Gippsland,30708,30823,115,0.4,-29,13,131,3296.3,9.4
26260,Southern Grampians,16401,16470,69,0.4,-28,15,82,6654,2.5
26350,Stonnington,106524,111335,4811,4.5,217,-713,5307,25.7,4340.4
26430,Strathbogie,11515,11578,63,0.5,-66,70,59,3303.3,3.5
26490,Surf Coast,38672,39292,620,1.6,140,171,309,1552.9,25.3
26610,Swan Hill,21239,21212,-27,-0.1,82,-356,247,6115.5,3.5
26670,Towong,6198,6243,45,0.7,-3,22,26,6675.2,0.9
26700,Wangaratta,29915,30002,87,0.3,-30,-6,123,3645.1,8.2
26730,Warrnambool,35576,35907,331,0.9,27,-49,353,120.9,296.9
26810,Wellington,45818,46124,306,0.7,16,27,263,10817.4,4.3
26890,West Wimmera,3943,3933,-10,-0.3,1,-23,12,9108.7,0.4
26980,Whitehorse,172607,178639,6032,3.5,160,-1434,7306,64.3,2779.1
27070,Whittlesea,237143,245029,7886,3.3,2153,1056,4677,489.7,500.4
27170,Wodonga,43716,44276,560,1.3,217,42,301,433,102.3
27260,Wyndham,309398,324087,14689,4.7,4401,2274,8014,542.1,597.8
27350,Yarra,92392,97448,5056,5.5,493,47,4516,19.5,4986.6
27450,Yarra Ranges,157467,158694,1227,0.8,837,-680,1070,2468.2,64.3
27630,Yarriambiack,6437,6389,-48,-0.7,-41,-20,13,7325.8,0.9
29399,Unincorporated Vic,961,953,-8,-0.8,3,-18,7,283.2,3.4
,Total Victoria,6630631,6815441,184810,2.8,29453,-1863,157220,227496.2,30
© Commonwealth of Australia,,,,,,,,,,
