Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Table 3. Estimated resident population and components, Local Government Areas, Queensland",,,,,,,,,,
"Regional population, 2022-23",,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2022-23,,,,
,,2022,2023,2022-23,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2023
LGA code,Local Government Area,no.,no.,no.,%,no.,no.,no.,km2,persons/km2
30250,Aurukun,1124,1154,30,2.7,27,2,1,7424,0.2
30300,Balonne,4352,4345,-7,-0.2,30,-53,16,31104.1,0.1
30370,Banana,14778,14919,141,1,77,-28,92,28550.2,0.5
30410,Barcaldine,2864,2894,30,1,22,0,8,53382.7,0.1
30450,Barcoo,315,317,2,0.6,3,-2,1,61830.2,0
30760,Blackall Tambo,1934,1953,19,1,-5,18,6,30537.2,0.1
30900,Boulia,474,478,4,0.8,6,-4,2,60906.5,0
31000,Brisbane,1283432,1323162,39730,3.1,6058,-1699,35371,1342.7,985.4
31750,Bulloo,343,346,3,0.9,4,-2,1,73722,0
31820,Bundaberg,102070,104166,2096,2.1,-239,1450,885,6431.1,16.2
31900,Burdekin,16868,17020,152,0.9,5,-21,168,5043.9,3.4
31950,Burke,432,438,6,1.4,-4,10,0,39681.2,0
32080,Cairns,171985,175398,3413,2,845,356,2212,1689.3,103.8
32250,Carpentaria,2170,2212,42,1.9,17,20,5,64121,0
32260,Cassowary Coast,29605,29972,367,1.2,29,12,326,4687.8,6.4
32270,Central Highlands (Qld),28530,28973,443,1.6,278,-27,192,59834.8,0.5
32310,Charters Towers,11979,12013,34,0.3,22,-35,47,68382.2,0.2
32330,Cherbourg,1228,1264,36,2.9,30,5,1,31.6,40
32450,Cloncurry,3788,3851,63,1.7,30,21,12,47971.3,0.1
32500,Cook,4673,4761,88,1.9,22,24,42,105717.8,0
32600,Croydon,268,270,2,0.7,0,1,1,29497.9,0
32750,Diamantina,270,272,2,0.7,5,-4,1,94722.4,0
32770,Doomadgee,1442,1461,19,1.3,45,-28,2,1827.7,0.8
32810,Douglas,12662,12828,166,1.3,8,-35,193,2427.9,5.3
33100,Etheridge,720,726,6,0.8,6,0,0,39199.3,0
33200,Flinders (Qld),1534,1544,10,0.7,27,-24,7,41199.9,0
33220,Fraser Coast,115069,117940,2871,2.5,-443,2675,639,7104.6,16.6
33360,Gladstone,65302,66835,1533,2.3,360,671,502,10484.3,6.4
33430,Gold Coast,647178,666087,18909,2.9,2395,2197,14317,1333.4,499.5
33610,Goondiwindi,10408,10452,44,0.4,53,-57,48,19265.7,0.5
33620,Gympie,55108,56166,1058,1.9,-13,850,221,6884,8.2
33800,Hinchinbrook,11087,11118,31,0.3,-60,59,32,2807.2,4
33830,Hope Vale,1004,1026,22,2.2,29,-9,2,1111.7,0.9
33960,Ipswich,242640,251148,8508,3.5,2398,3366,2744,1093.9,229.6
33980,Isaac,22744,23024,280,1.2,226,-113,167,58707.9,0.4
34420,Kowanyama,1136,1147,11,1,19,-9,1,2555.3,0.4
34530,Livingstone,40901,41906,1005,2.5,70,766,169,11757.9,3.6
34570,Lockhart River,656,673,17,2.6,23,-8,2,3576.7,0.2
34580,Lockyer Valley,42628,43847,1219,2.9,176,438,605,2269,19.3
34590,Logan,363059,377773,14714,4.1,3320,5984,5410,958.1,394.3
34710,Longreach,3721,3737,16,0.4,0,-3,19,40572.2,0.1
34770,Mackay,124950,126907,1957,1.6,666,528,763,7613.3,16.7
34800,McKinlay,846,849,3,0.4,9,-10,4,40736.8,0
34830,Mapoon,454,465,11,2.4,0,10,1,537.2,0.9
34860,Maranoa,13099,13255,156,1.2,96,0,60,58719.3,0.2
34880,Mareeba,23367,23702,335,1.4,63,92,180,53491.1,0.4
35010,Moreton Bay,496772,510104,13332,2.7,2051,5251,6030,2041.5,249.9
35250,Mornington,1065,1079,14,1.3,24,-11,1,1247.7,0.9
35300,Mount Isa,19046,18945,-101,-0.5,239,-537,197,43715.2,0.4
35600,Murweh,3960,3966,6,0.2,10,-26,22,40699.8,0.1
35670,Napranum,906,924,18,2,11,2,5,2004.3,0.5
35740,Noosa,57336,58367,1031,1.8,-153,275,909,869.9,67.1
35760,North Burnett,10216,10352,136,1.3,-44,38,142,19669.8,0.5
35780,Northern Peninsula Area,2889,2908,19,0.7,41,-23,1,1052.1,2.8
35790,Palm Island,2193,2214,21,1,16,5,0,72,30.8
35800,Paroo,1712,1725,13,0.8,7,-1,7,47614.9,0
36070,Pormpuraaw,637,644,7,1.1,10,-4,1,4395.4,0.1
36150,Quilpie,703,709,6,0.9,20,-17,3,67414.7,0
36250,Redland,163729,166809,3080,1.9,123,1259,1698,537.2,310.5
36300,Richmond,777,781,4,0.5,10,-9,3,26580.7,0
36370,Rockhampton,83596,84517,921,1.1,343,77,501,6570.3,12.9
36510,Scenic Rim,44331,45248,917,2.1,60,510,347,4243,10.7
36580,Somerset,25711,26251,540,2.1,42,283,215,5373.4,4.9
36630,South Burnett,33783,34290,507,1.5,-24,390,141,8381.6,4.1
36660,Southern Downs,36991,37444,453,1.2,-46,342,157,7106.4,5.3
36720,Sunshine Coast,355904,365942,10038,2.8,457,4635,4946,2253.9,162.4
36820,Tablelands,26806,27259,453,1.7,-51,349,155,11292.9,2.4
36910,Toowoomba,178387,181821,3434,1.9,596,1347,1491,12957.2,14
36950,Torres,3517,3502,-15,-0.4,27,-48,6,883.7,4
36960,Torres Strait Island,4285,4286,1,0,57,-58,2,490,8.7
37010,Townsville,198134,201433,3299,1.7,1197,409,1693,3730.8,54
