Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Table 4. Estimated resident population and components, Local Government Areas, South Australia",,,,,,,,,,
"Regional population, 2022-23",,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2022-23,,,,
,,2022,2023,2022-23,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2023
LGA code,Local Government Area,no.,no.,no.,%,no.,no.,no.,km2,persons/km2
40070,Adelaide,26183,27901,1718,6.6,-2,-422,2142,15.6,1791.6
40120,Adelaide Hills,41408,41842,434,1,83,40,311,794.5,52.7
40150,Adelaide Plains,10454,10932,478,4.6,102,354,22,932.5,11.7
40220,Alexandrina,29746,30323,577,1.9,-70,517,130,1826.8,16.6
40250,Anangu Pitjantjatjara Yankunytjatjara,2598,2632,34,1.3,20,11,3,102348.1,0
40310,Barossa,25866,26268,402,1.6,-37,309,130,893.5,29.4
40430,Barunga West,2672,2680,8,0.3,-21,21,8,1590.4,1.7
40520,Berri Barmera,10710,10730,20,0.2,-4,-44,68,476.2,22.5
40700,Burnside,46710,47444,734,1.6,-97,-434,1265,27.5,1724.1
40910,Campbelltown (SA),56028,57160,1132,2,45,-203,1290,24.3,2347.6
41010,Ceduna,3650,3717,67,1.8,24,31,12,5420.3,0.7
41060,Charles Sturt,124865,127440,2575,2.1,317,-100,2358,54.8,2326.1
41140,Clare and Gilbert Valleys,9381,9405,24,0.3,0,-16,40,1892.4,5
41190,Cleve,1764,1757,-7,-0.4,-3,-8,4,5018.8,0.4
41330,Coober Pedy,1573,1550,-23,-1.5,-6,-26,9,77.7,20
41560,Copper Coast,15643,15951,308,2,-57,331,34,772.9,20.6
41750,Elliston,1032,1041,9,0.9,-8,13,4,6741.9,0.2
41830,Flinders Ranges,1682,1673,-9,-0.5,-11,-1,3,4070.5,0.4
41960,Franklin Harbour,1327,1332,5,0.4,-2,4,3,2755.6,0.5
42030,Gawler,26114,26789,675,2.6,19,520,136,41.1,651.2
42110,Goyder,4143,4132,-11,-0.3,-12,-3,4,6715.1,0.6
42250,Grant,8926,9044,118,1.3,9,74,35,1897.8,4.8
42600,Holdfast Bay,38056,38766,710,1.9,-119,-101,930,13.8,2818.9
42750,Kangaroo Island,5088,5125,37,0.7,15,-9,31,4400.9,1.2
43080,Karoonda East Murray,1027,1016,-11,-1.1,-3,-19,11,4415.8,0.2
43220,Kimba,1059,1059,0,0,1,-4,3,5697.1,0.2
43360,Kingston (SA),2376,2393,17,0.7,-22,34,5,3339.8,0.7
43650,Light,16319,16616,297,1.8,31,209,57,1276.8,13
43710,Lower Eyre Peninsula,6097,6154,57,0.9,19,20,18,4721.4,1.3
43790,Loxton Waikerie,11923,11897,-26,-0.2,-64,-12,50,7763.9,1.5
44000,Maralinga Tjarutja,102,102,0,0,0,0,0,105766.3,0
44060,Marion,96667,98493,1826,1.9,144,-513,2195,55.6,1770.2
44210,Mid Murray,9415,9496,81,0.9,-49,95,35,6271.6,1.5
