Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Table 6. Estimated resident population and components, Local Government Areas, Tasmania",,,,,,,,,,
"Regional population, 2022-23",,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2022-23,,,,
,,2022,2023,2022-23,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2023
LGA code,Local Government Area,no.,no.,no.,%,no.,no.,no.,km2,persons/km2
60210,Break O`Day,7010,7075,65,0.9,-14,53,26,3523.9,2
60410,Brighton,19688,19998,310,1.6,167,113,30,171.2,116.8
60610,Burnie,20470,20463,-7,0,55,-150,88,611,33.5
60810,Central Coast (Tas.),23342,23331,-11,0,-76,9,56,933.1,25
61010,Central Highlands (Tas.),2586,2595,9,0.3,-5,10,4,7982.4,0.3
61210,Circular Head,8368,8352,-16,-0.2,15,-77,46,4897.7,1.7
61410,Clarence,63084,63663,579,0.9,55,96,428,378,168.4
61510,Derwent Valley,11235,11341,106,0.9,0,80,26,4108.1,2.8
61610,Devonport,26935,26977,42,0.2,-13,-69,124,111.3,242.5
61810,Dorset,7022,7001,-21,-0.3,-17,-24,20,3230.5,2.2
62010,Flinders (Tas.),931,933,2,0.2,-2,4,0,1996.6,0.5
62210,George Town,7267,7330,63,0.9,-15,52,26,653.4,11.2
62410,Glamorgan-Spring Bay,5188,5237,49,0.9,-31,53,27,2591.6,2
62610,Glenorchy,51012,50808,-204,-0.4,78,-783,501,121.2,419.3
62810,Hobart,56018,55964,-54,-0.1,-71,-1401,1418,77.9,718.4
63010,Huon Valley,19215,19454,239,1.2,56,91,92,5507.4,3.5
63210,Kentish,6805,6831,26,0.4,1,-1,26,1156.2,5.9
63410,King Island,1675,1648,-27,-1.6,-7,-30,10,1095.7,1.5
63610,Kingborough,40937,41179,242,0.6,64,-153,331,720.1,57.2
63810,Latrobe (Tas.),12921,13062,141,1.1,-43,142,42,600.5,21.8
64010,Launceston,71889,71788,-101,-0.1,52,-893,740,1413.6,50.8
64210,Meander Valley,21354,21449,95,0.4,12,17,66,3330.8,6.4
64610,Northern Midlands,14137,14279,142,1,21,85,36,5135.3,2.8
64810,Sorell,17429,17635,206,1.2,49,81,76,583.8,30.2
65010,Southern Midlands,6887,6912,25,0.4,17,4,4,2615.5,2.6
65210,Tasman,2676,2686,10,0.4,-18,22,6,660.4,4.1
65410,Waratah-Wynyard,14688,14767,79,0.5,-44,89,34,3535.9,4.2
65610,West Coast,4351,4359,8,0.2,-13,11,10,9583.5,0.5
65810,West Tamar,25931,26039,108,0.4,21,-28,115,691.2,37.7
,Total Tasmania,571051,573156,2105,0.4,294,-2597,4408,68017.5,8.4
© Commonwealth of Australia,,,,,,,,,,
