Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"Table 5. Estimated resident population and components, Local Government Areas, Western Australia",,,,,,,,,,
"Regional population, 2022-23",,,,,,,,,,
,,ERP at 30 June,,ERP change,,Components of population change 2022-23,,,,
,,2022,2023,2022-23,,Natural increase,Net internal migration,Net overseas migration,Area,Population density 2023
LGA code,Local Government Area,no.,no.,no.,%,no.,no.,no.,km2,persons/km2
50080,Albany,40434,40949,515,1.3,-11,218,308,4308.5,9.5
50210,Armadale,100849,105094,4245,4.2,964,1573,1708,559.5,187.8
50250,Ashburton,7843,8076,233,3,99,25,109,100817.3,0.1
50280,Augusta Margaret River,17917,18620,703,3.9,76,388,239,2122.4,8.8
50350,Bassendean,16612,16914,302,1.8,47,-2,257,10.3,1635
50420,Bayswater,72242,74283,2041,2.8,288,-399,2152,34.6,2145.9
50490,Belmont,44364,45976,1612,3.6,221,-234,1625,39.8,1154.5
50560,Beverley,1738,1768,30,1.7,3,26,1,2370.5,0.7
50630,Boddington,1758,1786,28,1.6,11,6,11,1904.5,0.9
50770,Boyup Brook,1938,1948,10,0.5,3,-1,8,2826.5,0.7
50840,Bridgetown-Greenbushes,5527,5669,142,2.6,-9,130,21,1337.4,4.2
50910,Brookton,954,955,1,0.1,-3,-1,5,1601.2,0.6
50980,Broome,18368,18611,243,1.3,179,-204,268,54401.8,0.3
51080,Broomehill-Tambellup,1087,1095,8,0.7,7,-6,7,2609.7,0.4
51120,Bruce Rock,1020,1043,23,2.3,0,9,14,2724.7,0.4
51190,Bunbury,34417,34768,351,1,19,-65,397,65.4,531.5
51260,Busselton,42931,43969,1038,2.4,51,675,312,1454.1,30.2
51310,Cambridge,30160,31133,973,3.2,12,-141,1102,22,1418
51330,Canning,99764,103691,3927,3.9,427,-1565,5065,64.9,1598.2
51400,Capel,19012,19335,323,1.7,114,90,119,557.9,34.7
51470,Carnamah,572,579,7,1.2,3,1,3,2870.9,0.2
51540,Carnarvon,5522,5528,6,0.1,25,-90,71,46574.7,0.1
51610,Chapman Valley,1636,1663,27,1.7,-1,21,7,3981.3,0.4
51680,Chittering,6298,6516,218,3.5,36,162,20,1219.9,5.3
51750,Claremont,11735,12178,443,3.8,-38,25,456,5,2457.5
51820,Cockburn,125232,130282,5050,4,937,1531,2582,167.9,775.8
51890,Collie,9153,9295,142,1.6,32,66,44,1709.8,5.4
51960,Coolgardie,3638,3686,48,1.3,35,-36,49,30297.7,0.1
52030,Coorow,1092,1107,15,1.4,2,5,8,4189.9,0.3
52100,Corrigin,1023,1029,6,0.6,1,0,5,2681.3,0.4
52170,Cottesloe,8322,8695,373,4.5,12,32,329,3.9,2254.7
52240,Cranbrook,1141,1149,8,0.7,3,-2,7,3276,0.4
52310,Cuballing,929,951,22,2.4,2,17,3,1195.3,0.8
52380,Cue,230,231,1,0.4,-3,2,2,13582.2,0
52450,Cunderdin,1345,1322,-23,-1.7,4,-37,10,1862.4,0.7
52520,Dalwallinu,1429,1446,17,1.2,24,-21,14,7224.4,0.2
52590,Dandaragan,3577,3748,171,4.8,15,84,72,6711.6,0.6
52660,Dardanup,15376,15685,309,2,58,166,85,525.8,29.8
52730,Denmark,6539,6618,79,1.2,1,56,22,1859.8,3.6
52800,Derby-West Kimberley,8410,8433,23,0.3,34,-78,67,119731,0.1
52870,Donnybrook-Balingup,6401,6438,37,0.6,-19,11,45,1559.9,4.1
52940,Dowerin,733,738,5,0.7,0,1,4,1863.1,0.4
53010,Dumbleyung,693,701,8,1.2,2,1,5,2539.2,0.3
53080,Dundas,695,701,6,0.9,-1,-2,9,92886.4,0
53150,East Fremantle,8071,8222,151,1.9,-25,-21,197,3.1,2619.8
53220,East Pilbara,10311,10401,90,0.9,63,-90,117,372295.7,0
53290,Esperance,14501,14547,46,0.3,53,-80,73,44797.5,0.3
53360,Exmouth,3315,3466,151,4.6,12,90,49,6488.2,0.5
53430,Fremantle,33788,35157,1369,4.1,45,387,937,19.3,1822.6
53570,Gingin,5896,6064,168,2.8,6,42,120,3208.4,1.9
53640,Gnowangerup,1264,1269,5,0.4,13,-18,10,4265,0.3
53710,Goomalling,984,987,3,0.3,-1,0,4,1835.4,0.5
53780,Gosnells,133064,137355,4291,3.2,743,-419,3967,127.3,1079
53800,Greater Geraldton,41515,41914,399,1,170,-45,274,9909,4.2
53920,Halls Creek,4113,4136,23,0.6,9,-9,23,133046,0
53990,Harvey,30165,30790,625,2.1,163,250,212,1727.6,17.8
54060,Irwin,3795,3842,47,1.2,-3,40,10,2369.3,1.6
54130,Jerramungup,1196,1213,17,1.4,12,-6,11,6511.2,0.2
54170,Joondalup,165649,169657,4008,2.4,746,-397,3659,98.9,1714.7
54200,Kalamunda,61294,62670,1376,2.2,234,240,902,324.3,193.2
54280,Kalgoorlie-Boulder,30756,30775,19,0.1,239,-636,416,95500.3,0.3
54310,Karratha,23809,24237,428,1.8,327,-186,287,15238.3,1.6
54340,Katanning,4237,4290,53,1.3,15,-5,43,1518.2,2.8
54410,Kellerberrin,1180,1166,-14,-1.2,-18,-5,9,1915.4,0.6
54480,Kent,510,524,14,2.7,7,3,4,5624.6,0.1
54550,Kojonup,1976,1967,-9,-0.5,-4,-20,15,2931,0.7
54620,Kondinin,866,858,-8,-0.9,-1,-13,6,7440.8,0.1
54690,Koorda,374,371,-3,-0.8,-3,-1,1,2832.3,0.1
54760,Kulin,783,794,11,1.4,7,-1,5,4718.9,0.2
54830,Kwinana,49542,52103,2561,5.2,527,1076,958,120,434.1
54900,Lake Grace,1290,1301,11,0.9,15,-14,10,11886.3,0.1
54970,Laverton,1434,1439,5,0.3,2,-7,10,179994,0
55040,Leonora,1723,1732,9,0.5,14,-20,15,31915.1,0.1
55110,Mandurah,95622,99272,3650,3.8,49,2184,1417,174.9,567.6
55180,Manjimup,9412,9438,26,0.3,-17,-21,64,7029.6,1.3
55250,Meekatharra,1295,1294,-1,-0.1,4,-15,10,100188.5,0
55320,Melville,107433,110426,2993,2.8,66,-8,2935,52.9,2089.4
55390,Menzies,571,575,4,0.7,-2,2,4,124115.4,0
55460,Merredin,3235,3268,33,1,-2,-12,47,3293.8,1
55530,Mingenew,423,417,-6,-1.4,3,-12,3,1934.9,0.2
55600,Moora,2378,2392,14,0.6,17,-27,24,3763,0.6
55670,Morawa,669,679,10,1.5,6,0,4,3510.6,0.2
55740,Mosman Park,9621,10032,411,4.3,-10,7,414,4.3,2307.7
