State_Territory,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
New South Wales,8166704.0,8342285.0,175581.0,2.1,32599.0,-34158.0,177140.0,800797.7,10.4
Victoria,6630631.0,6815441.0,184810.0,2.8,29453.0,-1863.0,157220.0,227496.2,30.0
Queensland,5320941.0,5460420.0,139479.0,2.6,22222.0,32255.0,85002.0,1730171.2,3.2
South Australia,1821215.0,1852284.0,31069.0,1.7,3043.0,-409.0,28435.0,984231.4,1.9
Western Australia,2791794.0,2881227.0,89433.0,3.2,13548.0,11630.0,64255.0,2526632.5,1.1
Tasmania,571051.0,573156.0,2105.0,0.4,294.0,-2597.0,4408.0,68017.5,8.4
Northern Territory,250228.0,252529.0,2301.0,0.9,2177.0,-3267.0,3391.0,1348134.5,0.2
Australian Capital Territory,456915.0,466566.0,9651.0,2.1,2701.0,-1591.0,8541.0,2358.1,197.9
Other Territories,4920.0,4970.0,50.0,1.0,21.0,0.0,29.0,255.7,19.4
Total Australia,26014399.0,26648878.0,634479.0,2.4,106058.0,0.0,528421.0,7688094.9,3.5
© Commonwealth of Australia,,,,,,,,,
