LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
10050,Albury,56665.0,57517.0,852.0,1.5,162.0,265.0,425.0,305.6,188.2
10180,Armidale,29361.0,29594.0,233.0,0.8,76.0,-336.0,493.0,7809.4,3.8
10250,Ballina,46849.0,47279.0,430.0,0.9,-91.0,154.0,367.0,485.0,97.5
10300,Balranald,2210.0,2202.0,-8.0,-0.4,4.0,-28.0,16.0,21690.7,0.1
10470,Bathurst,44110.0,44612.0,502.0,1.1,185.0,66.0,251.0,3817.9,11.7
10500,Bayside (NSW),177992.0,182987.0,4995.0,2.8,1052.0,-3452.0,7395.0,50.6,3614.9
10550,Bega Valley,35985.0,36279.0,294.0,0.8,-60.0,216.0,138.0,6278.5,5.8
10600,Bellingen,13261.0,13231.0,-30.0,-0.2,-47.0,-54.0,71.0,1600.4,8.3
10650,Berrigan,8652.0,8643.0,-9.0,-0.1,-59.0,-6.0,56.0,2065.9,4.2
10750,Blacktown,410944.0,426202.0,15258.0,3.7,3925.0,2070.0,9263.0,238.8,1784.4
10800,Bland,5493.0,5464.0,-29.0,-0.5,17.0,-67.0,21.0,8557.7,0.6
10850,Blayney,7590.0,7644.0,54.0,0.7,38.0,-8.0,24.0,1524.6,5.0
10900,Blue Mountains,77913.0,78446.0,533.0,0.7,123.0,-361.0,771.0,1431.1,54.8
10950,Bogan,2454.0,2420.0,-34.0,-1.4,5.0,-49.0,10.0,14599.9,0.2
11150,Bourke,2348.0,2365.0,17.0,0.7,25.0,-14.0,6.0,41598.4,0.1
11200,Brewarrina,1431.0,1411.0,-20.0,-1.4,2.0,-26.0,4.0,19162.0,0.1
11250,Broken Hill,17567.0,17624.0,57.0,0.3,-7.0,3.0,61.0,170.1,103.6
11300,Burwood,40850.0,42498.0,1648.0,4.0,92.0,-978.0,2534.0,7.1,5962.0
11350,Byron,36514.0,37126.0,612.0,1.7,94.0,-61.0,579.0,565.8,65.6
11400,Cabonne,13843.0,13880.0,37.0,0.3,16.0,-20.0,41.0,6022.3,2.3
11450,Camden,127808.0,134811.0,7003.0,5.5,1712.0,3823.0,1468.0,201.5,668.9
11500,Campbelltown (NSW),180377.0,184784.0,4407.0,2.4,1655.0,-75.0,2827.0,311.4,593.4
11520,Canada Bay,89236.0,91385.0,2149.0,2.4,399.0,-1204.0,2954.0,19.9,4586.7
11570,Canterbury-Bankstown,372119.0,379829.0,7710.0,2.1,2425.0,-4675.0,9960.0,110.2,3445.6
11600,Carrathool,2829.0,2765.0,-64.0,-2.3,5.0,-91.0,22.0,18934.5,0.1
11650,Central Coast (NSW),349158.0,351934.0,2776.0,0.8,124.0,-385.0,3037.0,1681.0,209.4
11700,Central Darling,1749.0,1757.0,8.0,0.5,12.0,-15.0,11.0,53492.2,0.0
11720,Cessnock,65875.0,67591.0,1716.0,2.6,366.0,1167.0,183.0,1965.2,34.4
11730,Clarence Valley,54659.0,55323.0,664.0,1.2,-85.0,544.0,205.0,10428.7,5.3
11750,Cobar,4046.0,4078.0,32.0,0.8,44.0,-32.0,20.0,45575.4,0.1
11800,Coffs Harbour,79725.0,80489.0,764.0,1.0,79.0,-105.0,790.0,1173.7,68.6
12000,Coolamon,4465.0,4549.0,84.0,1.9,5.0,68.0,11.0,2430.9,1.9
12150,Coonamble,3825.0,3861.0,36.0,0.9,23.0,6.0,7.0,9916.1,0.4
12160,Cootamundra-Gundagai,11403.0,11424.0,21.0,0.2,-20.0,-25.0,66.0,3981.4,2.9
12350,Cowra,12703.0,12659.0,-44.0,-0.3,-70.0,-8.0,34.0,2808.8,4.5
12380,Cumberland,237481.0,245323.0,7842.0,3.3,2282.0,-4286.0,9846.0,72.7,3372.2
12390,Dubbo,55893.0,56558.0,665.0,1.2,369.0,-92.0,388.0,7534.5,7.5
