LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
70200,Alice Springs,28859.0,29213.0,354.0,1.2,281.0,-440.0,513.0,327.7,89.1
70420,Barkly,7212.0,7239.0,27.0,0.4,70.0,-85.0,42.0,322710.4,0.0
70540,Belyuen,165.0,166.0,1.0,0.6,0.0,0.0,1.0,41.4,4.0
70620,Central Desert,4105.0,4126.0,21.0,0.5,54.0,-38.0,5.0,281338.0,0.0
70700,Coomalie,1396.0,1421.0,25.0,1.8,10.0,5.0,10.0,2056.1,0.7
71000,Darwin,84877.0,85465.0,588.0,0.7,665.0,-2091.0,2014.0,111.3,768.1
71150,Darwin Waterfront Precinct,289.0,282.0,-7.0,-2.4,3.0,-24.0,14.0,0.7,378.7
71300,East Arnhem,10108.0,10011.0,-97.0,-1.0,71.0,-182.0,14.0,33309.9,0.3
72200,Katherine,10834.0,10829.0,-5.0,0.0,64.0,-135.0,66.0,7416.6,1.5
72300,Litchfield,23083.0,23415.0,332.0,1.4,152.0,53.0,127.0,2903.3,8.1
72330,MacDonnell,6627.0,6706.0,79.0,1.2,52.0,-11.0,38.0,268339.0,0.0
72800,Palmerston,40467.0,41113.0,646.0,1.6,569.0,-353.0,430.0,68.2,603.0
73600,Roper Gulf,7475.0,7491.0,16.0,0.2,12.0,-22.0,26.0,185213.5,0.0
74050,Tiwi Islands,2743.0,2747.0,4.0,0.1,7.0,-8.0,5.0,7483.2,0.4
74550,Victoria Daly,3262.0,3295.0,33.0,1.0,23.0,4.0,6.0,153287.4,0.0
74560,Wagait,463.0,464.0,1.0,0.2,0.0,-2.0,3.0,5.7,81.9
74660,West Arnhem,7258.0,7407.0,149.0,2.1,57.0,77.0,15.0,49675.0,0.1
74680,West Daly,3434.0,3426.0,-8.0,-0.2,22.0,-34.0,4.0,14069.7,0.2
79399,Unincorporated NT,7571.0,7713.0,142.0,1.9,65.0,19.0,58.0,19777.4,0.4
,Total Northern Territory,250228.0,252529.0,2301.0,0.9,2177.0,-3267.0,3391.0,1348134.5,0.2
© Commonwealth of Australia,,,,,,,,,,
