LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
30250,Aurukun,1124.0,1154.0,30.0,2.7,27.0,2.0,1.0,7424.0,0.2
30300,Balonne,4352.0,4345.0,-7.0,-0.2,30.0,-53.0,16.0,31104.1,0.1
30370,Banana,14778.0,14919.0,141.0,1.0,77.0,-28.0,92.0,28550.2,0.5
30410,Barcaldine,2864.0,2894.0,30.0,1.0,22.0,0.0,8.0,53382.7,0.1
30450,Barcoo,315.0,317.0,2.0,0.6,3.0,-2.0,1.0,61830.2,0.0
30760,Blackall Tambo,1934.0,1953.0,19.0,1.0,-5.0,18.0,6.0,30537.2,0.1
30900,Boulia,474.0,478.0,4.0,0.8,6.0,-4.0,2.0,60906.5,0.0
31000,Brisbane,1283432.0,1323162.0,39730.0,3.1,6058.0,-1699.0,35371.0,1342.7,985.4
31750,Bulloo,343.0,346.0,3.0,0.9,4.0,-2.0,1.0,73722.0,0.0
31820,Bundaberg,102070.0,104166.0,2096.0,2.1,-239.0,1450.0,885.0,6431.1,16.2
31900,Burdekin,16868.0,17020.0,152.0,0.9,5.0,-21.0,168.0,5043.9,3.4
31950,Burke,432.0,438.0,6.0,1.4,-4.0,10.0,0.0,39681.2,0.0
32080,Cairns,171985.0,175398.0,3413.0,2.0,845.0,356.0,2212.0,1689.3,103.8
32250,Carpentaria,2170.0,2212.0,42.0,1.9,17.0,20.0,5.0,64121.0,0.0
32260,Cassowary Coast,29605.0,29972.0,367.0,1.2,29.0,12.0,326.0,4687.8,6.4
32270,Central Highlands (Qld),28530.0,28973.0,443.0,1.6,278.0,-27.0,192.0,59834.8,0.5
32310,Charters Towers,11979.0,12013.0,34.0,0.3,22.0,-35.0,47.0,68382.2,0.2
32330,Cherbourg,1228.0,1264.0,36.0,2.9,30.0,5.0,1.0,31.6,40.0
32450,Cloncurry,3788.0,3851.0,63.0,1.7,30.0,21.0,12.0,47971.3,0.1
32500,Cook,4673.0,4761.0,88.0,1.9,22.0,24.0,42.0,105717.8,0.0
32600,Croydon,268.0,270.0,2.0,0.7,0.0,1.0,1.0,29497.9,0.0
32750,Diamantina,270.0,272.0,2.0,0.7,5.0,-4.0,1.0,94722.4,0.0
32770,Doomadgee,1442.0,1461.0,19.0,1.3,45.0,-28.0,2.0,1827.7,0.8
32810,Douglas,12662.0,12828.0,166.0,1.3,8.0,-35.0,193.0,2427.9,5.3
33100,Etheridge,720.0,726.0,6.0,0.8,6.0,0.0,0.0,39199.3,0.0
33200,Flinders (Qld),1534.0,1544.0,10.0,0.7,27.0,-24.0,7.0,41199.9,0.0
33220,Fraser Coast,115069.0,117940.0,2871.0,2.5,-443.0,2675.0,639.0,7104.6,16.6
33360,Gladstone,65302.0,66835.0,1533.0,2.3,360.0,671.0,502.0,10484.3,6.4
33430,Gold Coast,647178.0,666087.0,18909.0,2.9,2395.0,2197.0,14317.0,1333.4,499.5
33610,Goondiwindi,10408.0,10452.0,44.0,0.4,53.0,-57.0,48.0,19265.7,0.5
33620,Gympie,55108.0,56166.0,1058.0,1.9,-13.0,850.0,221.0,6884.0,8.2
33800,Hinchinbrook,11087.0,11118.0,31.0,0.3,-60.0,59.0,32.0,2807.2,4.0
