LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
40070,Adelaide,26183.0,27901.0,1718.0,6.6,-2.0,-422.0,2142.0,15.6,1791.6
40120,Adelaide Hills,41408.0,41842.0,434.0,1.0,83.0,40.0,311.0,794.5,52.7
40150,Adelaide Plains,10454.0,10932.0,478.0,4.6,102.0,354.0,22.0,932.5,11.7
40220,Alexandrina,29746.0,30323.0,577.0,1.9,-70.0,517.0,130.0,1826.8,16.6
40250,Anangu Pitjantjatjara Yankunytjatjara,2598.0,2632.0,34.0,1.3,20.0,11.0,3.0,102348.1,0.0
40310,Barossa,25866.0,26268.0,402.0,1.6,-37.0,309.0,130.0,893.5,29.4
40430,Barunga West,2672.0,2680.0,8.0,0.3,-21.0,21.0,8.0,1590.4,1.7
40520,Berri Barmera,10710.0,10730.0,20.0,0.2,-4.0,-44.0,68.0,476.2,22.5
40700,Burnside,46710.0,47444.0,734.0,1.6,-97.0,-434.0,1265.0,27.5,1724.1
40910,Campbelltown (SA),56028.0,57160.0,1132.0,2.0,45.0,-203.0,1290.0,24.3,2347.6
41010,Ceduna,3650.0,3717.0,67.0,1.8,24.0,31.0,12.0,5420.3,0.7
41060,Charles Sturt,124865.0,127440.0,2575.0,2.1,317.0,-100.0,2358.0,54.8,2326.1
41140,Clare and Gilbert Valleys,9381.0,9405.0,24.0,0.3,0.0,-16.0,40.0,1892.4,5.0
41190,Cleve,1764.0,1757.0,-7.0,-0.4,-3.0,-8.0,4.0,5018.8,0.4
41330,Coober Pedy,1573.0,1550.0,-23.0,-1.5,-6.0,-26.0,9.0,77.7,20.0
41560,Copper Coast,15643.0,15951.0,308.0,2.0,-57.0,331.0,34.0,772.9,20.6
41750,Elliston,1032.0,1041.0,9.0,0.9,-8.0,13.0,4.0,6741.9,0.2
41830,Flinders Ranges,1682.0,1673.0,-9.0,-0.5,-11.0,-1.0,3.0,4070.5,0.4
41960,Franklin Harbour,1327.0,1332.0,5.0,0.4,-2.0,4.0,3.0,2755.6,0.5
42030,Gawler,26114.0,26789.0,675.0,2.6,19.0,520.0,136.0,41.1,651.2
42110,Goyder,4143.0,4132.0,-11.0,-0.3,-12.0,-3.0,4.0,6715.1,0.6
42250,Grant,8926.0,9044.0,118.0,1.3,9.0,74.0,35.0,1897.8,4.8
42600,Holdfast Bay,38056.0,38766.0,710.0,1.9,-119.0,-101.0,930.0,13.8,2818.9
42750,Kangaroo Island,5088.0,5125.0,37.0,0.7,15.0,-9.0,31.0,4400.9,1.2
43080,Karoonda East Murray,1027.0,1016.0,-11.0,-1.1,-3.0,-19.0,11.0,4415.8,0.2
43220,Kimba,1059.0,1059.0,0.0,0.0,1.0,-4.0,3.0,5697.1,0.2
43360,Kingston (SA),2376.0,2393.0,17.0,0.7,-22.0,34.0,5.0,3339.8,0.7
43650,Light,16319.0,16616.0,297.0,1.8,31.0,209.0,57.0,1276.8,13.0
43710,Lower Eyre Peninsula,6097.0,6154.0,57.0,0.9,19.0,20.0,18.0,4721.4,1.3
43790,Loxton Waikerie,11923.0,11897.0,-26.0,-0.2,-64.0,-12.0,50.0,7763.9,1.5
44000,Maralinga Tjarutja,102.0,102.0,0.0,0.0,0.0,0.0,0.0,105766.3,0.0
44060,Marion,96667.0,98493.0,1826.0,1.9,144.0,-513.0,2195.0,55.6,1770.2
44210,Mid Murray,9415.0,9496.0,81.0,0.9,-49.0,95.0,35.0,6271.6,1.5
