LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
60210,Break O`Day,7010.0,7075.0,65.0,0.9,-14.0,53.0,26.0,3523.9,2.0
60410,Brighton,19688.0,19998.0,310.0,1.6,167.0,113.0,30.0,171.2,116.8
60610,Burnie,20470.0,20463.0,-7.0,0.0,55.0,-150.0,88.0,611.0,33.5
60810,Central Coast (Tas.),23342.0,23331.0,-11.0,0.0,-76.0,9.0,56.0,933.1,25.0
61010,Central Highlands (Tas.),2586.0,2595.0,9.0,0.3,-5.0,10.0,4.0,7982.4,0.3
61210,Circular Head,8368.0,8352.0,-16.0,-0.2,15.0,-77.0,46.0,4897.7,1.7
61410,Clarence,63084.0,63663.0,579.0,0.9,55.0,96.0,428.0,378.0,168.4
61510,Derwent Valley,11235.0,11341.0,106.0,0.9,0.0,80.0,26.0,4108.1,2.8
61610,Devonport,26935.0,26977.0,42.0,0.2,-13.0,-69.0,124.0,111.3,242.5
61810,Dorset,7022.0,7001.0,-21.0,-0.3,-17.0,-24.0,20.0,3230.5,2.2
62010,Flinders (Tas.),931.0,933.0,2.0,0.2,-2.0,4.0,0.0,1996.6,0.5
62210,George Town,7267.0,7330.0,63.0,0.9,-15.0,52.0,26.0,653.4,11.2
62410,Glamorgan-Spring Bay,5188.0,5237.0,49.0,0.9,-31.0,53.0,27.0,2591.6,2.0
62610,Glenorchy,51012.0,50808.0,-204.0,-0.4,78.0,-783.0,501.0,121.2,419.3
62810,Hobart,56018.0,55964.0,-54.0,-0.1,-71.0,-1401.0,1418.0,77.9,718.4
63010,Huon Valley,19215.0,19454.0,239.0,1.2,56.0,91.0,92.0,5507.4,3.5
63210,Kentish,6805.0,6831.0,26.0,0.4,1.0,-1.0,26.0,1156.2,5.9
63410,King Island,1675.0,1648.0,-27.0,-1.6,-7.0,-30.0,10.0,1095.7,1.5
63610,Kingborough,40937.0,41179.0,242.0,0.6,64.0,-153.0,331.0,720.1,57.2
63810,Latrobe (Tas.),12921.0,13062.0,141.0,1.1,-43.0,142.0,42.0,600.5,21.8
64010,Launceston,71889.0,71788.0,-101.0,-0.1,52.0,-893.0,740.0,1413.6,50.8
64210,Meander Valley,21354.0,21449.0,95.0,0.4,12.0,17.0,66.0,3330.8,6.4
64610,Northern Midlands,14137.0,14279.0,142.0,1.0,21.0,85.0,36.0,5135.3,2.8
64810,Sorell,17429.0,17635.0,206.0,1.2,49.0,81.0,76.0,583.8,30.2
65010,Southern Midlands,6887.0,6912.0,25.0,0.4,17.0,4.0,4.0,2615.5,2.6
65210,Tasman,2676.0,2686.0,10.0,0.4,-18.0,22.0,6.0,660.4,4.1
65410,Waratah-Wynyard,14688.0,14767.0,79.0,0.5,-44.0,89.0,34.0,3535.9,4.2
65610,West Coast,4351.0,4359.0,8.0,0.2,-13.0,11.0,10.0,9583.5,0.5
65810,West Tamar,25931.0,26039.0,108.0,0.4,21.0,-28.0,115.0,691.2,37.7
,Total Tasmania,571051.0,573156.0,2105.0,0.4,294.0,-2597.0,4408.0,68017.5,8.4
© Commonwealth of Australia,,,,,,,,,,
