LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
20110,Alpine,13191.0,13182.0,-9.0,-0.1,-16.0,-81.0,88.0,4788.2,2.8
20260,Ararat,11758.0,11683.0,-75.0,-0.6,-25.0,-157.0,107.0,4211.1,2.8
20570,Ballarat,116011.0,118137.0,2126.0,1.8,270.0,975.0,881.0,739.0,159.9
20660,Banyule,127427.0,129602.0,2175.0,1.7,390.0,-608.0,2393.0,62.5,2072.3
20740,Bass Coast,41813.0,42729.0,916.0,2.2,-106.0,830.0,192.0,865.8,49.4
20830,Baw Baw,59277.0,60644.0,1367.0,2.3,205.0,940.0,222.0,4027.6,15.1
20910,Bayside (Vic.),102241.0,104272.0,2031.0,2.0,-85.0,-265.0,2381.0,37.2,2802.2
21010,Benalla,14463.0,14529.0,66.0,0.5,-98.0,130.0,34.0,2352.6,6.2
21110,Boroondara,169632.0,174537.0,4905.0,2.9,-95.0,-771.0,5771.0,60.2,2900.4
21180,Brimbank,193392.0,196046.0,2654.0,1.4,846.0,-3291.0,5099.0,123.4,1588.7
21270,Buloke,6120.0,6040.0,-80.0,-1.3,-41.0,-64.0,25.0,7998.2,0.8
21370,Campaspe,38556.0,38299.0,-257.0,-0.7,-72.0,-328.0,143.0,4519.1,8.5
21450,Cardinia,123181.0,126960.0,3779.0,3.1,1298.0,1366.0,1115.0,1282.6,99.0
21610,Casey,379104.0,392110.0,13006.0,3.4,3974.0,1789.0,7243.0,409.4,957.7
21670,Central Goldfields,13520.0,13574.0,54.0,0.4,-106.0,120.0,40.0,1532.8,8.9
21750,Colac Otway,22198.0,22273.0,75.0,0.3,21.0,-80.0,134.0,3437.5,6.5
21830,Corangamite,15999.0,15948.0,-51.0,-0.3,7.0,-116.0,58.0,4407.5,3.6
21890,Darebin,150605.0,155683.0,5078.0,3.4,544.0,-701.0,5235.0,53.5,2911.5
22110,East Gippsland,48939.0,49179.0,240.0,0.5,-133.0,207.0,166.0,20939.5,2.3
22170,Frankston,141161.0,142826.0,1665.0,1.2,671.0,-513.0,1507.0,129.6,1102.1
22250,Gannawarra,10534.0,10420.0,-114.0,-1.1,-56.0,-61.0,3.0,3737.6,2.8
22310,Glen Eira,151824.0,156837.0,5013.0,3.3,411.0,-771.0,5373.0,38.7,4053.6
22410,Glenelg,20049.0,20022.0,-27.0,-0.1,-35.0,-52.0,60.0,6218.8,3.2
22490,Golden Plains,25321.0,25818.0,497.0,2.0,137.0,300.0,60.0,2703.4,9.6
22620,Greater Bendigo,122704.0,124174.0,1470.0,1.2,358.0,399.0,713.0,3000.0,41.4
22670,Greater Dandenong,159294.0,163792.0,4498.0,2.8,843.0,-2833.0,6488.0,129.5,1264.3
22750,Greater Geelong,276601.0,282809.0,6208.0,2.2,1161.0,2429.0,2618.0,1248.0,226.6
22830,Greater Shepparton,68964.0,69135.0,171.0,0.2,215.0,-776.0,732.0,2421.9,28.5
22910,Hepburn,16573.0,16670.0,97.0,0.6,-39.0,50.0,86.0,1473.0,11.3
22980,Hindmarsh,5601.0,5559.0,-42.0,-0.7,-33.0,-34.0,25.0,7524.2,0.7
23110,Hobsons Bay,91864.0,93738.0,1874.0,2.0,427.0,-419.0,1866.0,64.2,1459.2
23190,Horsham,20348.0,20315.0,-33.0,-0.2,17.0,-140.0,90.0,4266.8,4.8
23270,Hume,253182.0,262764.0,9582.0,3.8,2728.0,1202.0,5652.0,503.8,521.5
23350,Indigo,17425.0,17662.0,237.0,1.4,25.0,160.0,52.0,2040.5,8.7
23430,Kingston (Vic.),160107.0,163724.0,3617.0,2.3,324.0,-430.0,3723.0,91.4,1791.9
23670,Knox,159549.0,161766.0,2217.0,1.4,446.0,-704.0,2475.0,113.9,1420.1
23810,Latrobe (Vic.),77705.0,78154.0,449.0,0.6,66.0,-20.0,403.0,1425.6,54.8
23940,Loddon,7750.0,7747.0,-3.0,0.0,-34.0,1.0,30.0,6696.4,1.2
24130,Macedon Ranges,52202.0,52920.0,718.0,1.4,184.0,216.0,318.0,1748.3,30.3
24210,Manningham,126570.0,129514.0,2944.0,2.3,-188.0,-590.0,3722.0,113.3,1142.6
24250,Mansfield,10338.0,10546.0,208.0,2.0,1.0,115.0,92.0,3843.9,2.7
24330,Maribyrnong,87605.0,91762.0,4157.0,4.7,584.0,-778.0,4351.0,31.2,2938.7
24410,Maroondah,115759.0,117434.0,1675.0,1.4,382.0,-624.0,1917.0,61.4,1912.3
24600,Melbourne,160328.0,177396.0,17068.0,10.6,500.0,-2424.0,18992.0,37.5,4724.9
24650,Melton,193285.0,206070.0,12785.0,6.6,2650.0,7658.0,2477.0,527.5,390.6
24700,Merri-bek,174886.0,181223.0,6337.0,3.6,960.0,-701.0,6078.0,51.0,3556.7
24780,Mildura,57250.0,57554.0,304.0,0.5,148.0,-462.0,618.0,22081.9,2.6
24850,Mitchell,51682.0,53723.0,2041.0,3.9,442.0,1216.0,383.0,2862.1,18.8
24900,Moira,30584.0,30775.0,191.0,0.6,-54.0,111.0,134.0,4045.9,7.6
24970,Monash,195081.0,203560.0,8479.0,4.3,44.0,-2480.0,10915.0,81.5,2498.2
25060,Moonee Valley,123119.0,126486.0,3367.0,2.7,295.0,-41.0,3113.0,43.1,2932.1
25150,Moorabool,38526.0,39092.0,566.0,1.5,224.0,175.0,167.0,2110.6,18.5
25340,Mornington Peninsula,169733.0,170243.0,510.0,0.3,-289.0,-530.0,1329.0,724.0,235.1
25430,Mount Alexander,20324.0,20576.0,252.0,1.2,-53.0,201.0,104.0,1529.6,13.5
25490,Moyne,17478.0,17610.0,132.0,0.8,50.0,-5.0,87.0,5481.7,3.2
25620,Murrindindi,15353.0,15482.0,129.0,0.8,-14.0,88.0,55.0,3879.8,4.0
25710,Nillumbik,63066.0,63264.0,198.0,0.3,197.0,-504.0,505.0,432.3,146.3
25810,Northern Grampians,11879.0,11879.0,0.0,0.0,-2.0,-64.0,66.0,5729.9,2.1
25900,Port Phillip,104096.0,109515.0,5419.0,5.2,477.0,-718.0,5660.0,20.6,5312.6
25990,Pyrenees,7653.0,7786.0,133.0,1.7,-13.0,127.0,19.0,3434.6,2.3
26080,Queenscliffe,3221.0,3238.0,17.0,0.5,-32.0,30.0,19.0,8.6,375.8
26170,South Gippsland,30708.0,30823.0,115.0,0.4,-29.0,13.0,131.0,3296.3,9.4
26260,Southern Grampians,16401.0,16470.0,69.0,0.4,-28.0,15.0,82.0,6654.0,2.5
26350,Stonnington,106524.0,111335.0,4811.0,4.5,217.0,-713.0,5307.0,25.7,4340.4
26430,Strathbogie,11515.0,11578.0,63.0,0.5,-66.0,70.0,59.0,3303.3,3.5
26490,Surf Coast,38672.0,39292.0,620.0,1.6,140.0,171.0,309.0,1552.9,25.3
26610,Swan Hill,21239.0,21212.0,-27.0,-0.1,82.0,-356.0,247.0,6115.5,3.5
26670,Towong,6198.0,6243.0,45.0,0.7,-3.0,22.0,26.0,6675.2,0.9
26700,Wangaratta,29915.0,30002.0,87.0,0.3,-30.0,-6.0,123.0,3645.1,8.2
26730,Warrnambool,35576.0,35907.0,331.0,0.9,27.0,-49.0,353.0,120.9,296.9
26810,Wellington,45818.0,46124.0,306.0,0.7,16.0,27.0,263.0,10817.4,4.3
26890,West Wimmera,3943.0,3933.0,-10.0,-0.3,1.0,-23.0,12.0,9108.7,0.4
26980,Whitehorse,172607.0,178639.0,6032.0,3.5,160.0,-1434.0,7306.0,64.3,2779.1
27070,Whittlesea,237143.0,245029.0,7886.0,3.3,2153.0,1056.0,4677.0,489.7,500.4
27170,Wodonga,43716.0,44276.0,560.0,1.3,217.0,42.0,301.0,433.0,102.3
27260,Wyndham,309398.0,324087.0,14689.0,4.7,4401.0,2274.0,8014.0,542.1,597.8
27350,Yarra,92392.0,97448.0,5056.0,5.5,493.0,47.0,4516.0,19.5,4986.6
27450,Yarra Ranges,157467.0,158694.0,1227.0,0.8,837.0,-680.0,1070.0,2468.2,64.3
27630,Yarriambiack,6437.0,6389.0,-48.0,-0.7,-41.0,-20.0,13.0,7325.8,0.9
29399,Unincorporated Vic,961.0,953.0,-8.0,-0.8,3.0,-18.0,7.0,283.2,3.4
