LGA_code,Local_Government_Area,ERP_2022,ERP_2023,ERP_Change_2022_23_no,ERP_Change_2022_23_percent,Natural_Increase,Net_Internal_Migration,Net_Overseas_Migration,Area_km2,Population_Density
50080,Albany,40434.0,40949.0,515.0,1.3,-11.0,218.0,308.0,4308.5,9.5
50210,Armadale,100849.0,105094.0,4245.0,4.2,964.0,1573.0,1708.0,559.5,187.8
50250,Ashburton,7843.0,8076.0,233.0,3.0,99.0,25.0,109.0,100817.3,0.1
50280,Augusta Margaret River,17917.0,18620.0,703.0,3.9,76.0,388.0,239.0,2122.4,8.8
50350,Bassendean,16612.0,16914.0,302.0,1.8,47.0,-2.0,257.0,10.3,1635.0
50420,Bayswater,72242.0,74283.0,2041.0,2.8,288.0,-399.0,2152.0,34.6,2145.9
50490,Belmont,44364.0,45976.0,1612.0,3.6,221.0,-234.0,1625.0,39.8,1154.5
50560,Beverley,1738.0,1768.0,30.0,1.7,3.0,26.0,1.0,2370.5,0.7
50630,Boddington,1758.0,1786.0,28.0,1.6,11.0,6.0,11.0,1904.5,0.9
50770,Boyup Brook,1938.0,1948.0,10.0,0.5,3.0,-1.0,8.0,2826.5,0.7
50840,Bridgetown-Greenbushes,5527.0,5669.0,142.0,2.6,-9.0,130.0,21.0,1337.4,4.2
50910,Brookton,954.0,955.0,1.0,0.1,-3.0,-1.0,5.0,1601.2,0.6
50980,Broome,18368.0,18611.0,243.0,1.3,179.0,-204.0,268.0,54401.8,0.3
51080,Broomehill-Tambellup,1087.0,1095.0,8.0,0.7,7.0,-6.0,7.0,2609.7,0.4
51120,Bruce Rock,1020.0,1043.0,23.0,2.3,0.0,9.0,14.0,2724.7,0.4
51190,Bunbury,34417.0,34768.0,351.0,1.0,19.0,-65.0,397.0,65.4,531.5
51260,Busselton,42931.0,43969.0,1038.0,2.4,51.0,675.0,312.0,1454.1,30.2
51310,Cambridge,30160.0,31133.0,973.0,3.2,12.0,-141.0,1102.0,22.0,1418.0
51330,Canning,99764.0,103691.0,3927.0,3.9,427.0,-1565.0,5065.0,64.9,1598.2
51400,Capel,19012.0,19335.0,323.0,1.7,114.0,90.0,119.0,557.9,34.7
51470,Carnamah,572.0,579.0,7.0,1.2,3.0,1.0,3.0,2870.9,0.2
51540,Carnarvon,5522.0,5528.0,6.0,0.1,25.0,-90.0,71.0,46574.7,0.1
51610,Chapman Valley,1636.0,1663.0,27.0,1.7,-1.0,21.0,7.0,3981.3,0.4
51680,Chittering,6298.0,6516.0,218.0,3.5,36.0,162.0,20.0,1219.9,5.3
51750,Claremont,11735.0,12178.0,443.0,3.8,-38.0,25.0,456.0,5.0,2457.5
51820,Cockburn,125232.0,130282.0,5050.0,4.0,937.0,1531.0,2582.0,167.9,775.8
51890,Collie,9153.0,9295.0,142.0,1.6,32.0,66.0,44.0,1709.8,5.4
51960,Coolgardie,3638.0,3686.0,48.0,1.3,35.0,-36.0,49.0,30297.7,0.1
52030,Coorow,1092.0,1107.0,15.0,1.4,2.0,5.0,8.0,4189.9,0.3
52100,Corrigin,1023.0,1029.0,6.0,0.6,1.0,0.0,5.0,2681.3,0.4
52170,Cottesloe,8322.0,8695.0,373.0,4.5,12.0,32.0,329.0,3.9,2254.7
52240,Cranbrook,1141.0,1149.0,8.0,0.7,3.0,-2.0,7.0,3276.0,0.4
52310,Cuballing,929.0,951.0,22.0,2.4,2.0,17.0,3.0,1195.3,0.8
52380,Cue,230.0,231.0,1.0,0.4,-3.0,2.0,2.0,13582.2,0.0
52450,Cunderdin,1345.0,1322.0,-23.0,-1.7,4.0,-37.0,10.0,1862.4,0.7
52520,Dalwallinu,1429.0,1446.0,17.0,1.2,24.0,-21.0,14.0,7224.4,0.2
52590,Dandaragan,3577.0,3748.0,171.0,4.8,15.0,84.0,72.0,6711.6,0.6
52660,Dardanup,15376.0,15685.0,309.0,2.0,58.0,166.0,85.0,525.8,29.8
52730,Denmark,6539.0,6618.0,79.0,1.2,1.0,56.0,22.0,1859.8,3.6
52800,Derby-West Kimberley,8410.0,8433.0,23.0,0.3,34.0,-78.0,67.0,119731.0,0.1
52870,Donnybrook-Balingup,6401.0,6438.0,37.0,0.6,-19.0,11.0,45.0,1559.9,4.1
52940,Dowerin,733.0,738.0,5.0,0.7,0.0,1.0,4.0,1863.1,0.4
53010,Dumbleyung,693.0,701.0,8.0,1.2,2.0,1.0,5.0,2539.2,0.3
53080,Dundas,695.0,701.0,6.0,0.9,-1.0,-2.0,9.0,92886.4,0.0
53150,East Fremantle,8071.0,8222.0,151.0,1.9,-25.0,-21.0,197.0,3.1,2619.8
53220,East Pilbara,10311.0,10401.0,90.0,0.9,63.0,-90.0,117.0,372295.7,0.0
53290,Esperance,14501.0,14547.0,46.0,0.3,53.0,-80.0,73.0,44797.5,0.3
53360,Exmouth,3315.0,3466.0,151.0,4.6,12.0,90.0,49.0,6488.2,0.5
53430,Fremantle,33788.0,35157.0,1369.0,4.1,45.0,387.0,937.0,19.3,1822.6
53570,Gingin,5896.0,6064.0,168.0,2.8,6.0,42.0,120.0,3208.4,1.9
53640,Gnowangerup,1264.0,1269.0,5.0,0.4,13.0,-18.0,10.0,4265.0,0.3
53710,Goomalling,984.0,987.0,3.0,0.3,-1.0,0.0,4.0,1835.4,0.5
53780,Gosnells,133064.0,137355.0,4291.0,3.2,743.0,-419.0,3967.0,127.3,1079.0
53800,Greater Geraldton,41515.0,41914.0,399.0,1.0,170.0,-45.0,274.0,9909.0,4.2
53920,Halls Creek,4113.0,4136.0,23.0,0.6,9.0,-9.0,23.0,133046.0,0.0
53990,Harvey,30165.0,30790.0,625.0,2.1,163.0,250.0,212.0,1727.6,17.8
54060,Irwin,3795.0,3842.0,47.0,1.2,-3.0,40.0,10.0,2369.3,1.6
54130,Jerramungup,1196.0,1213.0,17.0,1.4,12.0,-6.0,11.0,6511.2,0.2
54170,Joondalup,165649.0,169657.0,4008.0,2.4,746.0,-397.0,3659.0,98.9,1714.7
54200,Kalamunda,61294.0,62670.0,1376.0,2.2,234.0,240.0,902.0,324.3,193.2
54280,Kalgoorlie-Boulder,30756.0,30775.0,19.0,0.1,239.0,-636.0,416.0,95500.3,0.3
54310,Karratha,23809.0,24237.0,428.0,1.8,327.0,-186.0,287.0,15238.3,1.6
54340,Katanning,4237.0,4290.0,53.0,1.3,15.0,-5.0,43.0,1518.2,2.8
54410,Kellerberrin,1180.0,1166.0,-14.0,-1.2,-18.0,-5.0,9.0,1915.4,0.6
54480,Kent,510.0,524.0,14.0,2.7,7.0,3.0,4.0,5624.6,0.1
54550,Kojonup,1976.0,1967.0,-9.0,-0.5,-4.0,-20.0,15.0,2931.0,0.7
54620,Kondinin,866.0,858.0,-8.0,-0.9,-1.0,-13.0,6.0,7440.8,0.1
54690,Koorda,374.0,371.0,-3.0,-0.8,-3.0,-1.0,1.0,2832.3,0.1
54760,Kulin,783.0,794.0,11.0,1.4,7.0,-1.0,5.0,4718.9,0.2
54830,Kwinana,49542.0,52103.0,2561.0,5.2,527.0,1076.0,958.0,120.0,434.1
54900,Lake Grace,1290.0,1301.0,11.0,0.9,15.0,-14.0,10.0,11886.3,0.1
54970,Laverton,1434.0,1439.0,5.0,0.3,2.0,-7.0,10.0,179994.0,0.0
55040,Leonora,1723.0,1732.0,9.0,0.5,14.0,-20.0,15.0,31915.1,0.1
55110,Mandurah,95622.0,99272.0,3650.0,3.8,49.0,2184.0,1417.0,174.9,567.6
55180,Manjimup,9412.0,9438.0,26.0,0.3,-17.0,-21.0,64.0,7029.6,1.3
55250,Meekatharra,1295.0,1294.0,-1.0,-0.1,4.0,-15.0,10.0,100188.5,0.0
55320,Melville,107433.0,110426.0,2993.0,2.8,66.0,-8.0,2935.0,52.9,2089.4
55390,Menzies,571.0,575.0,4.0,0.7,-2.0,2.0,4.0,124115.4,0.0
55460,Merredin,3235.0,3268.0,33.0,1.0,-2.0,-12.0,47.0,3293.8,1.0
55530,Mingenew,423.0,417.0,-6.0,-1.4,3.0,-12.0,3.0,1934.9,0.2
55600,Moora,2378.0,2392.0,14.0,0.6,17.0,-27.0,24.0,3763.0,0.6
55670,Morawa,669.0,679.0,10.0,1.5,6.0,0.0,4.0,3510.6,0.2
55740,Mosman Park,9621.0,10032.0,411.0,4.3,-10.0,7.0,414.0,4.3,2307.7
55810,Mount Magnet,701.0,701.0,0.0,0.0,1.0,-6.0,5.0,13858.1,0.1
55880,Mount Marshall,463.0,461.0,-2.0,-0.4,5.0,-10.0,3.0,10184.6,0.0
55950,Mukinbudin,587.0,600.0,13.0,2.2,5.0,4.0,4.0,3426.9,0.2
56090,Mundaring,40517.0,41421.0,904.0,2.2,85.0,411.0,408.0,643.2,64.4
56160,Murchison,108.0,106.0,-2.0,-1.9,0.0,-3.0,1.0,45046.1,0.0
56230,Murray,19116.0,19823.0,707.0,3.7,57.0,511.0,139.0,1703.5,11.6
56300,Nannup,1593.0,1632.0,39.0,2.4,-2.0,29.0,12.0,3053.9,0.5
56370,Narembeen,822.0,833.0,11.0,1.3,3.0,-3.0,11.0,3809.0,0.2
56460,Narrogin,4959.0,4983.0,24.0,0.5,-2.0,-31.0,57.0,1631.3,3.1
56580,Nedlands,23018.0,24127.0,1109.0,4.8,-15.0,7.0,1117.0,19.6,1228.2
56620,Ngaanyatjarraku,1478.0,1479.0,1.0,0.1,-5.0,-5.0,11.0,159816.0,0.0
56730,Northam,11938.0,12193.0,255.0,2.1,1.0,189.0,65.0,1431.2,8.5
56790,Northampton,3343.0,3369.0,26.0,0.8,0.0,8.0,18.0,12543.7,0.3
56860,Nungarin,261.0,256.0,-5.0,-1.9,0.0,-7.0,2.0,1166.0,0.2
56930,Peppermint Grove,1638.0,1736.0,98.0,6.0,-3.0,30.0,71.0,1.1,1625.9
57000,Perenjori,652.0,649.0,-3.0,-0.5,-1.0,-6.0,4.0,8301.4,0.1
57080,Perth,30580.0,32856.0,2276.0,7.4,112.0,-699.0,2863.0,13.7,2392.4
57140,Pingelly,1068.0,1084.0,16.0,1.5,6.0,4.0,6.0,1294.6,0.8
57210,Plantagenet,5587.0,5669.0,82.0,1.5,6.0,55.0,21.0,4876.7,1.2
57280,Port Hedland,17031.0,17247.0,216.0,1.3,193.0,-171.0,194.0,18417.1,0.9
57350,Quairading,983.0,973.0,-10.0,-1.0,-2.0,-15.0,7.0,2016.9,0.5
57420,Ravensthorpe,2202.0,2277.0,75.0,3.4,21.0,32.0,22.0,9841.8,0.2
57490,Rockingham,143754.0,148822.0,5068.0,3.5,828.0,1782.0,2458.0,257.5,578.0
57630,Sandstone,119.0,116.0,-3.0,-2.5,0.0,-4.0,1.0,32605.3,0.0
57700,Serpentine-Jarrahdale,34795.0,36739.0,1944.0,5.6,405.0,1162.0,377.0,901.2,40.8
57770,Shark Bay,1082.0,1129.0,47.0,4.3,7.0,24.0,16.0,24201.5,0.0
57840,South Perth,45201.0,46701.0,1500.0,3.3,-4.0,-285.0,1789.0,19.8,2357.3
57910,Stirling,236262.0,243871.0,7609.0,3.2,1248.0,-1053.0,7414.0,104.7,2328.6
57980,Subiaco,18008.0,18870.0,862.0,4.8,41.0,31.0,790.0,5.6,3358.7
58050,Swan,163948.0,171588.0,7640.0,4.7,1522.0,3199.0,2919.0,1043.0,164.5
58190,Tammin,403.0,404.0,1.0,0.2,0.0,-2.0,3.0,1101.7,0.4
58260,Three Springs,587.0,593.0,6.0,1.0,1.0,2.0,3.0,2656.7,0.2
58330,Toodyay,4814.0,4954.0,140.0,2.9,3.0,118.0,19.0,1691.6,2.9
58400,Trayning,304.0,303.0,-1.0,-0.3,-7.0,4.0,2.0,1651.2,0.2
58470,Upper Gascoyne,188.0,201.0,13.0,6.9,4.0,6.0,3.0,57809.9,0.0
