LGA_NAME,ERP_2023
Alpine,13182.0
Ararat,11683.0
Ballarat,118137.0
Banyule,129602.0
Bass Coast,42729.0
Baw Baw,60644.0
Bayside (Vic.),104272.0
Benalla,14529.0
Boroondara,174537.0
Brimbank,196046.0
Buloke,6040.0
Campaspe,38299.0
Cardinia,126960.0
Casey,392110.0
Central Goldfields,13574.0
Colac Otway,22273.0
Corangamite,15948.0
Darebin,155683.0
East Gippsland,49179.0
Frankston,142826.0
Gannawarra,10420.0
Glen Eira,156837.0
Glenelg,20022.0
Golden Plains,25818.0
Greater Bendigo,124174.0
Greater Dandenong,163792.0
Greater Geelong,282809.0
Greater Shepparton,69135.0
Hepburn,16670.0
Hindmarsh,5559.0
Hobsons Bay,93738.0
Horsham,20315.0
Hume,262764.0
Indigo,17662.0
Kingston (Vic.),163724.0
Knox,161766.0
Latrobe (Vic.),78154.0
Loddon,7747.0
Macedon Ranges,52920.0
Manningham,129514.0
Mansfield,10546.0
Maribyrnong,91762.0
Maroondah,117434.0
Melbourne,177396.0
Melton,206070.0
Merri-bek,181223.0
Mildura,57554.0
Mitchell,53723.0
Moira,30775.0
Monash,203560.0
Moonee Valley,126486.0
Moorabool,39092.0
Mornington Peninsula,170243.0
Mount Alexander,20576.0
Moyne,17610.0
Murrindindi,15482.0
Nillumbik,63264.0
Northern Grampians,11879.0
Port Phillip,109515.0
Pyrenees,7786.0
Queenscliffe,3238.0
South Gippsland,30823.0
Southern Grampians,16470.0
Stonnington,111335.0
Strathbogie,11578.0
Surf Coast,39292.0
Swan Hill,21212.0
Towong,6243.0
Wangaratta,30002.0
Warrnambool,35907.0
Wellington,46124.0
West Wimmera,3933.0
Whitehorse,178639.0
Whittlesea,245029.0
Wodonga,44276.0
Wyndham,324087.0
Yarra,97448.0
Yarra Ranges,158694.0
Yarriambiack,6389.0
Unincorporated Vic,953.0
Total Victoria,6815441.0
Alice Springs,29213.0
Barkly,7239.0
Belyuen,166.0
Central Desert,4126.0
Coomalie,1421.0
Darwin,85465.0
Darwin Waterfront Precinct,282.0
East Arnhem,10011.0
Katherine,10829.0
Litchfield,23415.0
MacDonnell,6706.0
Palmerston,41113.0
Roper Gulf,7491.0
Tiwi Islands,2747.0
Victoria Daly,3295.0
Wagait,464.0
West Arnhem,7407.0
West Daly,3426.0
Unincorporated NT,7713.0
Total Northern Territory,252529.0
Aurukun,1154.0
Balonne,4345.0
Banana,14919.0
Barcaldine,2894.0
Barcoo,317.0
Blackall Tambo,1953.0
Boulia,478.0
Brisbane,1323162.0
Bulloo,346.0
Bundaberg,104166.0
Burdekin,17020.0
Burke,438.0
Cairns,175398.0
Carpentaria,2212.0
Cassowary Coast,29972.0
Central Highlands (Qld),28973.0
Charters Towers,12013.0
Cherbourg,1264.0
Cloncurry,3851.0
Cook,4761.0
Croydon,270.0
Diamantina,272.0
Doomadgee,1461.0
